.base,variable,n_total,n_validos,n_missing,pct_missing,media,sd,min,p25,mediana,p75,max,grupo,variable_label
Test,n_supermercados_1km,10286,10286,0,0,12.16449543068248,6.000483481827243,0,8,13,15,39,OSM: distancias y conteos,Supermercados en 1 km
Test,n_tiendas_1km,10286,10286,0,0,469.5765117635621,343.5495506567647,0,245,345,635,1834,OSM: distancias y conteos,Tiendas en 1 km
Test,seguridad,10286,10286,0,0,2.364378767256465,0.7644449742464994,0,2,2,3,4,Datos Abiertos Bogotá,Seguridad
Test,superficie,10286,5388,4898,47.618121718841145,152.6546028210839,1483.6018514833638,10,77,118,162,108800,Características estructurales,Superficie
Train,MED_VALOR_,38644,38644,0,0,7974407333.3376465,97003585413.25443,5957000,51383000,194220000,324878500,1783314846000,Datos Abiertos Bogotá,Mediana valor referencia
Train,NO_PREDIOS,38644,38644,0,0,455.2642324811096,632.3033727842828,1,57,236,571,5785,Datos Abiertos Bogotá,Número de predios
Train,Numero_banos,38644,38644,0,0,2.865270158368699,0.9877530615182577,1,2,3,3,13,Características estructurales,Número de baños
Train,Numero_bedrooms,38644,38644,0,0,3.1446020080736985,1.5348175904035068,0,2,3,3,11,Características estructurales,Número de habitaciones
Train,Numero_rooms,38644,24147,14497,37.514232481109616,3.022197374415041,1.339560199348287,1,2,3,3,11,Características estructurales,Número de cuartos
Train,V_REF,38644,38644,0,0,3621313.891859021,1458909.7709480638,0,2700000,3350000,4700000,23240000,Datos Abiertos Bogotá,Valor de referencia
Train,dist_aeropuerto,38644,38644,0,0,7881.423150956691,2329.586033882439,9.741046805979533,6830.645652609548,8450.71039451078,9541.833124424924,13357.40082773698,OSM: distancias y conteos,Distancia a aeropuerto
Train,dist_cai,38644,38644,0,0,718.6820186478567,367.60011229416534,1.53609135825964,432.28717179404975,680.3024181973116,967.5197034502893,2174.632133973295,OSM: distancias y conteos,Distancia a CAI / policía
Train,dist_centro,38644,38644,0,0,5117.566769000128,3175.43010723641,1.553864475179234,3189.830018094971,4163.352706746361,5776.524433428205,18128.37163414542,OSM: distancias y conteos,Distancia al centro
Train,dist_hospital,38644,38644,0,0,700.4206386117374,498.23017621156225,0.6130199702686047,329.043747505515,572.4145629673635,938.5100711659471,3549.316227595823,OSM: distancias y conteos,Distancia a hospital
Train,dist_parque,38644,38644,0,0,113.45543203811619,89.53339199592067,0.7255132750810639,48.55186140334919,91.44486883908704,154.39489177366505,2897.318429276488,OSM: distancias y conteos,Distancia a parque
Train,dist_transmilenio,38644,38644,0,0,2221.4336846393703,1367.268814394745,3.707808889926096,1084.951193749167,1943.838014460845,3269.757181843542,8657.660769551827,OSM: distancias y conteos,Distancia a estación de transporte
Train,n_colegios_1km,38644,38644,0,0,1.8458492909636683,2.2113019890954457,0,1,1,2,15,OSM: distancias y conteos,Colegios en 1 km
Train,n_estaciones_1km,38644,38644,0,0,2.400553772901356,7.886310843336732,0,0,0,0,66,OSM: distancias y conteos,Estaciones en 1 km
Train,n_supermercados_1km,38644,38644,0,0,12.12410723527585,6.49046601966982,0,7,12,16,62,OSM: distancias y conteos,Supermercados en 1 km
Train,n_tiendas_1km,38644,38644,0,0,450.8757892557706,244.54738018935745,0,287,415,564.25,1858,OSM: distancias y conteos,Tiendas en 1 km
Train,seguridad,38644,38644,0,0,2.482714004761412,0.6869087411308314,0,2,3,3,4,Datos Abiertos Bogotá,Seguridad
Train,superficie,38644,19346,19298,49.937894627885306,147.30306006409594,202.64187588177876,2,80,110,170,17137,Características estructurales,Superficie
